Parent Container,Container Id,Container Type,Dwell Time,Container Count,Stacking Filter,Force Moved Status,Scheduled Departure Time
"CART_00p1yrpr_S","SBt2q4BfKX_001_v","PACKAGE","1 hr 35 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBv2RDMf9X_001_v","PACKAGE","40 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBxPJNLfMX_001_v","PACKAGE","39 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBkFR3R0LX_001_v","PACKAGE","1 hr 37 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBv7GxrfrX_001_v","PACKAGE","32 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBk09vVfFX_001_v","PACKAGE","41 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBkqPyv0cX_001_v","PACKAGE","1 hr 37 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBh3csS0LX_001_v","PACKAGE","1 hr 36 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBHr0cvfHX_001_v","PACKAGE","1 hr 35 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBBQLTX05X_001_v","PACKAGE","1 hr 36 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBWFWgK0fX_001_v","PACKAGE","1 hr 36 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBxXJXw0sX_001_v","PACKAGE","40 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBvRkCq06X_001_v","PACKAGE","41 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBHsP6ZfGX_001_v","PACKAGE","39 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBv0YwM0MX_001_v","PACKAGE","1 hr 37 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBhMtrpfVX_001_v","PACKAGE","1 hr 36 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
"CART_00p1yrpr_S","SBvXRfK01X_001_v","PACKAGE","1 hr 35 mins","","YHM5-DLC1-CART-SPG","false","03-Nov-25 18:00",
